zone,start_local,start_utc,duration_sec,accuracy,source
Reihe 1,2026-05-21 20:30:00,2026-05-21 18:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 06:00:00,2026-05-22 04:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 06:30:00,2026-05-22 04:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 07:00:00,2026-05-22 05:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 08:00:00,2026-05-22 06:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 08:00:00,2026-05-22 06:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 08:30:00,2026-05-22 06:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 09:00:00,2026-05-22 07:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 09:30:00,2026-05-22 07:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 10:00:00,2026-05-22 08:00:00,11,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 11:00:00,2026-05-22 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 11:00:00,2026-05-22 09:00:00,11,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-22 11:00:00,2026-05-22 09:00:00,110,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-22 11:00:00,2026-05-22 09:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 12:00:00,2026-05-22 10:00:00,13,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 13:00:00,2026-05-22 11:00:00,176,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 13:00:00,2026-05-22 11:00:00,11,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-22 13:00:00,2026-05-22 11:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-22 13:00:00,2026-05-22 11:00:00,174,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-22 13:30:00,2026-05-22 11:30:00,174,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-22 14:00:00,2026-05-22 12:00:00,171,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-22 14:00:00,2026-05-22 12:00:00,13,stunde_rekonstruiert,ha_lts_power_energy
